State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Uttar Pradesh,GHAZIPUR,Linseed,2001-02,Rabi,61.0,Hectare,23.0,Tonnes,0.3770491803278688
Maharashtra,GADCHIROLI,Safflower,1998-99,Rabi,100.0,Hectare,100.0,Tonnes,1.0
Manipur,CHANDEL,Peas & beans (Pulses),2008-09,Rabi,1093.0,Hectare,1127.0,Tonnes,1.0311070448307411
Himachal Pradesh,SOLAN,Other Kharif pulses,2001-02,Kharif,3.0,Hectare,3.0,Tonnes,1.0
Karnataka,HASSAN,Tapioca,2012-13,Whole Year,57.0,Hectare,602.0,Tonnes,10.56140350877193
Andhra Pradesh,VIZIANAGARAM,Groundnut,2017-18,Rabi,1051.0,Hectare,2179.0,Tonnes,2.0732635585156998
Uttar Pradesh,BUDAUN,Groundnut,2001-02,Kharif,454.0,Hectare,361.0,Tonnes,0.7951541850220264
Meghalaya,WEST GARO HILLS,Masoor,2016-17,Rabi,640.0,Hectare,646.0,Tonnes,1.009375
Madhya Pradesh,MAHASAMUND,Linseed,1998-99,Rabi,800.0,Hectare,100.0,Tonnes,0.125
Maharashtra,AKOLA,Other Summer Pulses,2019-20,Summer,169.0,Hectare,32.0,Tonnes,0.1893491124260355
Andhra Pradesh,KARIMNAGAR,Castor seed,2006-07,Kharif,2469.0,Hectare,1050.0,Tonnes,0.425273390036452
Uttar Pradesh,GHAZIABAD,Sannhamp,2002-03,Whole Year,2.0,Hectare,1.0,Tonnes,0.5
Punjab,AMRITSAR,Gram,2001-02,Rabi,500.0,Hectare,400.0,Tonnes,0.8
Karnataka,MYSURU,Rice,2019-20,Kharif,76138.0,Hectare,239705.0,Tonnes,3.148296514224172
Uttar Pradesh,SULTANPUR,Peas & beans (Pulses),2001-02,Rabi,10113.0,Hectare,9284.0,Tonnes,0.9180263027786018
Uttarakhand,PAURI GARHWAL,Arhar/Tur,2001-02,Kharif,413.0,Hectare,205.0,Tonnes,0.4963680387409201
Odisha,MAYURBHANJ,Wheat,2001-02,Rabi,494.0,Hectare,545.4,Tonnes,1.1040485829959514
West Bengal,BIRBHUM,Maize,1997-98,Whole Year,44.0,Hectare,30.0,Tonnes,0.6818181818181818
Odisha,DEOGARH,Groundnut,2004-05,Summer,249.0,Hectare,228.1,Tonnes,0.9160642570281124
Rajasthan,AJMER,Dry chillies,2012-13,Whole Year,482.0,Hectare,457.0,Tonnes,0.9481327800829876
Assam,JORHAT,Onion,2003-04,Whole Year,185.0,Hectare,407.0,Tonnes,2.2
Uttar Pradesh,MUZAFFARNAGAR,Peas & beans (Pulses),2002-03,Rabi,282.0,Hectare,347.0,Tonnes,1.2304964539007093
Madhya Pradesh,GWALIOR,Masoor,2004-05,Rabi,2686.0,Hectare,1408.0,Tonnes,0.5241995532390171
Bihar,HAZARIBAGH,Potato,1997-98,Whole Year,7647.0,Hectare,59556.0,Tonnes,7.788152216555512
Bihar,BHAGALPUR,Sugarcane,2001-02,Whole Year,2003.0,Hectare,93952.0,Tonnes,46.90564153769346
Chhattisgarh,RAJNANDGAON,Mesta,2008-09,Kharif,66.0,Hectare,130.0,Bales,1.9696969696969695
West Bengal,MEDINIPUR EAST,Groundnut,2007-08,Summer,16463.0,Hectare,35116.0,Tonnes,2.1330255724959
Meghalaya,SOUTH WEST GARO HILLS,Gram,2013-14,Rabi,276.0,Hectare,312.0,Tonnes,1.1304347826086956
Karnataka,CHIKMAGALUR,Arecanut,2001-02,Whole Year,15796.0,Hectare,18093.0,Tonnes,1.145416561154723
Andhra Pradesh,KADAPA,Ragi,2011-12,Rabi,124.0,Hectare,250.0,Tonnes,2.0161290322580645
